batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_date,game_pk,is_dome,wind_out,hit_factor,tb_factor,hr_factor,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,extra_base_hit_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,batting_avg_last_5,k_rate_last_5,xba_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_tb_1plus,p_tb_2plus,adj_prob,pred_total_bases,book_markets,primary_line,primary_side,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_side,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
644433,Chadwick Tromp,BAL,BOS,0,9.0,1.0,700842,Eduardo Rivera,L,824732,7:10 PM ET,Fenway Park,1,0,0.24822695035460993,2026-07-22,824732,0.0,1,102.5,97.9,86.2,R,3,3,2,0,0,0,0,0,0,0,2,3,0,0,1,0,1,0.34299999999999997,0.3913333333333333,1,1,1,1,0,0,0.22580645161290322,0.21875,0.7741935483870968,0.21212121212121213,0.25,0.12903225806451613,0.030303030303030304,0.030303030303030304,0.06451612903225806,0.7333333333333333,0.4666666666666667,0.38461538461538464,0.2692307692307692,0.4230769230769231,0.23076923076923078,0.038461538461538464,0.2940606060606061,0.4382045454545454,0.0,0.2,0.15937500000000004,0.36925,0.17073170731707318,0.17073170731707318,0.3333333333333333,0.18421052631578946,0.34210526315789475,0.25,,,,,,,,,,,,0.27072188869812713,0.14408350259408728,0.27072188869812713,0.7333333333333333,,1.5,,,,,False,,0.5,,,,,False,
687952,Christian Encarnacion-Strand,BAL,BOS,0,5.0,1.0,700842,Eduardo Rivera,L,824732,7:10 PM ET,Fenway Park,1,0,0.24822695035460993,2026-07-22,824732,0.0,1,102.5,97.9,86.2,R,3,3,2,0,0,1,0,0,0,1,5,2,0,1,1,1,0,0.389,1.084,1,1,1,1,1,0,0.20408163265306123,0.22,0.7959183673469388,0.2,0.23684210526315788,0.08163265306122448,0.02,0.02,0.04081632653061224,0.9333333333333333,0.6666666666666666,0.38461538461538464,0.1794871794871795,0.358974358974359,0.2564102564102564,0.02564102564102564,0.24815119047619047,0.43830357142857146,0.29411764705882354,0.17647058823529413,0.2505083333333334,0.43299999999999994,0.21153846153846154,0.38461538461538464,0.21818181818181817,0.25,0.36538461538461536,0.2777777777777778,,,,,,,,,,,,0.6138610582601519,0.4593980381507528,0.6138610582601519,0.9333333333333333,"{""bet365"": {""1.5"": {""over"": 135, ""under"": -180}}, ""draftkings"": {""1.5"": {""over"": 146, ""under"": -196}}}",1.5,over,draftkings,146.0,0.4065040650406504,True,0.0529,0.5,,,,,False,
687637,Dylan Beavers,BAL,BOS,0,6.0,1.0,700842,Eduardo Rivera,L,824732,7:10 PM ET,Fenway Park,0,0,0.24822695035460993,2026-07-22,824732,0.0,1,102.5,97.9,86.2,L,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.37374999999999997,0.7264999999999999,0,0,0,0,1,0,0.2727272727272727,0.3469387755102041,0.7045454545454546,0.2653061224489796,0.3870967741935484,0.13636363636363635,0.0,0.12244897959183673,0.13636363636363635,1.2,0.8666666666666667,0.3225806451612903,0.22580645161290322,0.3548387096774194,0.3225806451612903,0.03225806451612903,0.30198484848484847,0.45678030303030304,0.35294117647058826,0.21052631578947367,0.3868541666666666,0.5615416666666666,0.3488372093023256,0.5348837209302325,0.22,0.06896551724137931,0.27586206896551724,0.19444444444444445,,,,,,,,,,,,0.6505651713765997,0.3712144215679178,0.6505651713765997,1.2,,1.5,,,,,False,,0.5,,,,,False,
683002,Gunnar Henderson,BAL,BOS,0,3.0,1.0,700842,Eduardo Rivera,L,824732,7:10 PM ET,Fenway Park,0,0,0.24822695035460993,2026-07-22,824732,0.0,1,102.5,97.9,86.2,L,6,5,3,3,0,0,0,0,0,1,6,4,0,2,1,2,1,0.25475,0.40349999999999997,1,1,1,1,1,0,0.21311475409836064,0.27941176470588236,0.7704918032786885,0.20588235294117646,0.2553191489361702,0.08196721311475409,0.014705882352941176,0.029411764705882353,0.04918032786885246,1.2,0.9333333333333333,0.4166666666666667,0.20833333333333334,0.4791666666666667,0.25,0.020833333333333332,0.33509555555555554,0.43846555555555555,0.22727272727272727,0.391304347826087,0.3227333333333333,0.48539999999999994,0.20634920634920634,0.30158730158730157,0.17391304347826086,0.23809523809523808,0.49206349206349204,0.18840579710144928,,,,,,,,,,,,0.5906643934395582,0.42119295101546855,0.5906643934395582,1.2,"{""bet365"": {""1.5"": {""over"": 100, ""under"": -135}}, ""novig"": {""1.5"": {""over"": 122, ""under"": -163}}, ""draftkings"": {""1.5"": {""over"": 125, ""under"": -166}}}",1.5,over,draftkings,125.0,0.4444444444444444,True,-0.0233,0.5,,,,,False,
702616,Jackson Holliday,BAL,BOS,0,8.0,1.0,700842,Eduardo Rivera,L,824732,7:10 PM ET,Fenway Park,0,0,0.24822695035460993,2026-07-22,824732,0.0,1,102.5,97.9,86.2,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.17,0.207,0,0,0,0,0,0,0.21212121212121213,0.4090909090909091,0.7575757575757576,0.18181818181818182,0.28,0.030303030303030304,0.0,0.022727272727272728,0.030303030303030304,0.5333333333333333,0.5333333333333333,0.16,0.2,0.6,0.2,0.0,0.3056893939393939,0.3563333333333334,0.1,0.35714285714285715,0.28511111111111126,0.32566666666666677,0.1875,0.3125,0.20512820512820512,0.21568627450980393,0.2549019607843137,0.27419354838709675,,,,,,,,,,,,0.4937927534964028,0.2551874156794777,0.4937927534964028,0.5333333333333333,,1.5,,,,,False,,0.5,,,,,False,
671286,Johnathan Rodríguez,BAL,BOS,0,7.0,1.0,700842,Eduardo Rivera,L,824732,7:10 PM ET,Fenway Park,1,0,0.24822695035460993,2026-07-22,824732,0.0,1,102.5,97.9,86.2,R,3,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0.039,0.039,0,0,0,0,1,0,0.21621621621621623,0.3023255813953488,0.6756756756756757,0.27906976744186046,0.25,0.21621621621621623,0.046511627906976744,0.046511627906976744,0.10810810810810811,1.0666666666666667,0.8,0.5769230769230769,0.38461538461538464,0.4230769230769231,0.19230769230769232,0.07692307692307693,0.3744027777777778,0.6411319444444444,0.0,0.45454545454545453,0.3213333333333333,0.5563333333333335,0.07692307692307693,0.3076923076923077,0.32142857142857145,0.23529411764705882,0.38235294117647056,0.35,,,,,,,,,,,,0.6003945499584339,0.3940410064017583,0.6003945499584339,1.0666666666666667,,1.5,,,,,False,,0.5,,,,,False,
624413,Pete Alonso,BAL,BOS,0,2.0,1.0,700842,Eduardo Rivera,L,824732,7:10 PM ET,Fenway Park,1,0,0.24822695035460993,2026-07-22,824732,0.0,1,102.5,97.9,86.2,R,5,4,1,0,0,0,0,1,0,2,1,2,0,1,1,0,1,0.33,0.3665,1,0,1,0,1,1,0.21153846153846154,0.36923076923076925,0.5961538461538461,0.3230769230769231,0.3103448275862069,0.15384615384615385,0.03076923076923077,0.03076923076923077,0.07692307692307693,1.2666666666666666,1.4,0.5483870967741935,0.25806451612903225,0.3225806451612903,0.3548387096774194,0.0,0.36588809523809523,0.5677476190476191,0.16666666666666666,0.391304347826087,0.45153333333333334,0.7245666666666665,0.25925925925925924,0.46296296296296297,0.2878787878787879,0.2857142857142857,0.5,0.3230769230769231,,,,,,,,,,,,0.6548687659431277,0.44552606028537317,0.6548687659431277,1.2666666666666666,"{""bet365"": {""1.5"": {""over"": -105, ""under"": -130}}, ""novig"": {""1.5"": {""over"": 111, ""under"": -141}}, ""draftkings"": {""1.5"": {""over"": 116, ""under"": -155}}}",1.5,over,draftkings,116.0,0.46296296296296297,True,-0.0174,0.5,,,,,False,
621493,Taylor Ward,BAL,BOS,0,1.0,1.0,700842,Eduardo Rivera,L,824732,7:10 PM ET,Fenway Park,1,0,0.24822695035460993,2026-07-22,824732,0.0,1,102.5,97.9,86.2,R,5,5,1,1,0,0,0,0,0,1,2,4,0,1,0,2,1,0.22075,0.2395,1,0,1,1,1,0,0.22,0.3939393939393939,0.78,0.16666666666666666,0.23684210526315788,0.14,0.030303030303030304,0.015151515151515152,0.06,1.2,0.7333333333333333,0.275,0.3,0.3,0.325,0.025,0.27540000000000003,0.45035000000000003,0.14285714285714285,0.13043478260869565,0.17196666666666666,0.4053666666666662,0.20689655172413793,0.3275862068965517,0.22058823529411764,0.32142857142857145,0.44642857142857145,0.23529411764705882,,,,,,,,,,,,0.597312294408675,0.4340088675710674,0.597312294408675,1.2,"{""bet365"": {""1.5"": {""over"": 125, ""under"": -165}}, ""novig"": {""1.5"": {""over"": 135, ""under"": -174}}, ""draftkings"": {""1.5"": {""over"": 129, ""under"": -172}}}",1.5,over,novig,135.0,0.425531914893617,True,0.0085,0.5,,,,,False,
641933,Tyler O'Neill,BAL,BOS,0,4.0,1.0,700842,Eduardo Rivera,L,824732,7:10 PM ET,Fenway Park,1,0,0.24822695035460993,2026-07-22,824732,0.0,1,102.5,97.9,86.2,R,5,5,2,1,0,0,0,0,0,0,3,5,0,1,0,2,2,0.2832,0.3376,1,1,1,1,0,0,0.22857142857142856,0.325,0.5714285714285714,0.375,0.25,0.37142857142857144,0.1,0.025,0.14285714285714285,1.4,1.0,0.65,0.2,0.25,0.55,0.1,0.41352564102564104,1.0840641025641025,0.2727272727272727,0.45454545454545453,0.13730000000000003,0.3634999999999998,0.25,0.4375,0.38461538461538464,0.24242424242424243,0.6060606060606061,0.2777777777777778,,,,,,,,,,,,0.5391145902600051,0.2457662174224713,0.5391145902600051,1.4,"{""bet365"": {""1.5"": {""over"": 135, ""under"": -180}}}",1.5,over,bet365,135.0,0.425531914893617,True,-0.1798,0.5,,,,,False,
683734,Andrew Vaughn,MIL,NYM,1,6.0,1.0,681035,Christian Scott,R,823761,2:10 PM ET,American Family Field,1,1,0.21775544388609716,2026-07-22,823761,,0,96.2,95.7,110.9,R,3,3,0,0,0,0,0,0,0,0,0,3,1,1,2,1,0,0.19666666666666666,0.5546666666666668,0,0,0,0,0,0,0.25,0.325,0.8055555555555556,0.175,0.2857142857142857,0.16666666666666666,0.025,0.075,0.1111111111111111,1.0,0.4666666666666667,0.41379310344827586,0.27586206896551724,0.4827586206896552,0.20689655172413793,0.0,0.24475555555555556,0.3409722222222222,0.25,0.16666666666666666,0.30365000000000003,0.48499999999999976,0.17647058823529413,0.23529411764705882,0.13953488372093023,0.3611111111111111,0.6388888888888888,0.11904761904761904,0.6078431372549019,0.20114942528735633,0.37777777777777777,0.15,0.3225806451612903,0.3064516129032258,0.03225806451612903,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.5274397869550539,0.2637147868279944,0.5274397869550539,1.0,,1.5,,,,,False,,0.5,,,,,False,
